"","Name","Location","yearlength"
"1","M. sargentiana 'Chyverton Dark'","F2•",13
"2","M. conifera","E8•",10
"3","M. sargentiana 'Blood Moon'","A5•",13
"4","M. sargentiana","D2•",13
"5","M. sargentiana","C7•",13
"6","M. zenii","BC•",13
"7","M. sprengeri 'Claret Cup'","D2•",13
"8","M. sprengeri","DB•",13
"9","M. stellata","C9•",7
"10","M. sprengeri 'Wakehurst'","H7•",13
"11","M. cylindrica","G6•",13
"12","M. laevifolia","A6•",2
"13","M. denudata 'Wada's Japanese Clone'","G6•",13
"14","M. chevalieri","GB•",1
"15","M. sprengeri 'Eric Savill'","A6•",13
"16","M. sapaensis","C3•",2
"17","M  sprengeri 'Wakehurst' A.M.","F6",0
"18","M. dawsoniana 'Chyverton Red'","B4•",13
"19","M. cavaleriei var. platypetala","F7•",13
"20","M. sprengeri 'Diva'","AC•",13
"21","M. denudata 'Forrest's Pink'","CA•",13
"22","M. campbellii","E7•",13
"23","M. cylindrica","A2•",13
"24","M. campbellii","F5•",0
"25","M. campbellii 'Landicla'","FA•",1
"26","M. dawsoniana 'Clarke'","EB•",13
"27","M. campbellii","D5•",13
"28","M. amoena","A6•",3
"29","M. 'Forrest's Pink'","D2",18
"30","M. biondii","D2",12
"31","M. campbellii 'Ethel Hillier'","E9",16
"32","M. campbellii 'Landicla'","F8",9
"33","M. campbellii (deep pink form)","E9",9
"34","M. campbellii (F.C.C. form)","E9",18
"35","M. campbellii (hybrid)","F1",17
"36","M. campbellii subsp. campbellii 'Betty Jessel'",NA,6
"37","M. campbellii subsp. mollicomata 'Borde Hill'","A5",15
"38","M. campbellii subsp. mollicomata 'Lanarth'","A6",13
"39","M. campbellii subsp. mollicomata","D5",18
"40","M. campbellii","D5",18
"41","M. cylindrica","A2",18
"42","M. cylindrica",NA,8
"43","M. dawsoniana 'Barbara Cook'","F7",17
"44","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')","B4",18
"45","M. dawsoniana 'Clark'","F3",18
"46","M. dawsoniana","B1",13
"47","M. denudata 'Japanese Clone'",NA,8
"48","M. denudata","E8",13
"49","M. maudiae var. platypetala",NA,7
"50","M. officinalis biloba","A2",9
"51","M. sargentiana 'Blood Moon' on M. sprengeri","A5",18
"52","M. sargentiana 'Chyverton Dark'","F2",14
"53","M. sargentiana (ex. var. robusta)","B1",13
"54","M. sargentiana (ex. var. robusta)","C7",18
"55","M. sargentiana (ex. var. robusta)","D2",1
"56","M. sargentiana (pale flower selection ex. 'Alba')","D2",16
"57","M. sprengeri 'Claret Cup'","D2",18
"58","M. sprengeri 'Copeland Court'","A4",13
"59","M. sprengeri 'Eric Savill'",NA,8
"60","M. sprengeri 'Wakehurst'","F6",5
"61","M. sprengeri","D8",18
"62","M. stellata","C9",18
"63","M. zenii (clone no. 1)","D3",18
"64","M. campbellii (Alba Group) 'Ethel Hillier'","H3•",13
"65","M. 'Barbara Cook'","F6•",13
"66","M. campbellii","D6•",13
"67","M. campbellii 'Lanarth'","AE•",13
"68","M. maudiae","B7•",11
"69","M. campbellii 'Borde Hill'","AL•",13
"70","M. campbellii 'Betty Jessel'","G2•",0
"71","M. campbellii","H3•",13
