"","Name","n()"
"1","M  sprengeri 'Wakehurst' A.M.",1
"2","M. 'Barbara Cook'",1
"3","M. 'Forrest's Pink'",1
"4","M. amoena",1
"5","M. biondii",1
"6","M. campbellii",6
"7","M. campbellii 'Betty Jessel'",1
"8","M. campbellii 'Borde Hill'",1
"9","M. campbellii 'Ethel Hillier'",1
"10","M. campbellii 'Lanarth'",1
"11","M. campbellii 'Landicla'",2
"12","M. campbellii (Alba Group) 'Ethel Hillier'",1
"13","M. campbellii (F.C.C. form)",1
"14","M. campbellii (deep pink form)",1
"15","M. campbellii (hybrid)",1
"16","M. campbellii subsp. campbellii 'Betty Jessel'",1
"17","M. campbellii subsp. mollicomata",1
"18","M. campbellii subsp. mollicomata 'Borde Hill'",1
"19","M. campbellii subsp. mollicomata 'Lanarth'",1
"20","M. cavaleriei var. platypetala",1
"21","M. chevalieri",1
"22","M. conifera",1
"23","M. cylindrica",4
"24","M. dawsoniana",1
"25","M. dawsoniana 'Barbara Cook'",1
"26","M. dawsoniana 'Chyverton Red'",1
"27","M. dawsoniana 'Chyverton Red'  (ex. 'Chyverton')",1
"28","M. dawsoniana 'Clark'",1
"29","M. dawsoniana 'Clarke'",1
"30","M. denudata",1
"31","M. denudata 'Forrest's Pink'",1
"32","M. denudata 'Japanese Clone'",1
"33","M. denudata 'Wada's Japanese Clone'",1
"34","M. laevifolia",1
"35","M. maudiae",1
"36","M. maudiae var. platypetala",1
"37","M. officinalis biloba",1
"38","M. sapaensis",1
"39","M. sargentiana",2
"40","M. sargentiana 'Blood Moon'",1
"41","M. sargentiana 'Blood Moon' on M. sprengeri",1
"42","M. sargentiana 'Chyverton Dark'",2
"43","M. sargentiana (ex. var. robusta)",3
"44","M. sargentiana (pale flower selection ex. 'Alba')",1
"45","M. sprengeri",2
"46","M. sprengeri 'Claret Cup'",2
"47","M. sprengeri 'Copeland Court'",1
"48","M. sprengeri 'Diva'",1
"49","M. sprengeri 'Eric Savill'",2
"50","M. sprengeri 'Wakehurst'",2
"51","M. stellata",2
"52","M. zenii",1
"53","M. zenii (clone no. 1)",1
